"","Learner","Screen","AUC","se","ci_ll","ci_ul","AUCstr","LearnerScreen"
"1","SL","All",0.817485480869831,0.018113268776354,0.779277923854674,0.850349315321442,"0.8175 [0.7793, 0.8503]","SL All"
"2","SL","All",0.815189852663954,0.0182859400532536,0.776641272234577,0.848384275436435,"0.8152 [0.7766, 0.8484]","SL All"
"3","SL","All",0.816495860352802,0.0181809993076328,0.778156411616996,0.849490974119528,"0.8165 [0.7782, 0.8495]","SL All"
"4","SL","All",0.817216425504127,0.017974190579645,0.779328599497224,0.849852449557712,"0.8172 [0.7793, 0.8499]","SL All"
"5","SL","All",0.817805388874679,0.0178927209892635,0.7800890793456,0.850294460668065,"0.8178 [0.7801, 0.8503]","SL All"
"6","SL","All",0.817087939659691,0.0179886105923445,0.779170267937114,0.849750410986973,"0.8171 [0.7792, 0.8498]","SL All"
"7","SL","All",0.816061157315379,0.0182561567797801,0.777561252898316,0.849189885735421,"0.8161 [0.7776, 0.8492]","SL All"
"8","SL","All",0.814817943134431,0.0181208230654391,0.776649508698076,0.847742482015136,"0.8148 [0.7766, 0.8477]","SL All"
"9","SL","All",0.817046184412309,0.0180834181430245,0.778915393972466,0.849868082178205,"0.8170 [0.7789, 0.8499]","SL All"
"10","SL","All",0.816206763446418,0.0183013705472956,0.777601602582714,0.849408408734417,"0.8162 [0.7776, 0.8494]","SL All"
