"","Learner","Screen","AUC","se","ci_ll","ci_ul","AUCstr","LearnerScreen"
"1","SL","All",0.817485480869831,0.018113268776354,0.781984126425883,0.852986835313778,"0.8175 [0.7820, 0.8530]","SL All"
"2","SL","All",0.815189852663954,0.0182859400532536,0.779350068736119,0.85102963659179,"0.8152 [0.7794, 0.8510]","SL All"
"3","SL","All",0.816495860352802,0.0181809993076328,0.780861756506894,0.85212996419871,"0.8165 [0.7809, 0.8521]","SL All"
"4","SL","All",0.817216425504127,0.017974190579645,0.781987659316764,0.852445191691491,"0.8172 [0.7820, 0.8524]","SL All"
"5","SL","All",0.817805388874679,0.0178927209892635,0.782736300150299,0.85287447759906,"0.8178 [0.7827, 0.8529]","SL All"
"6","SL","All",0.817087939659691,0.0179886105923445,0.78183091076678,0.852344968552602,"0.8171 [0.7818, 0.8523]","SL All"
"7","SL","All",0.816061157315379,0.0182561567797801,0.780279747530894,0.851842567099865,"0.8161 [0.7803, 0.8518]","SL All"
"8","SL","All",0.814817943134431,0.0181208230654391,0.779301782555948,0.850334103712915,"0.8148 [0.7793, 0.8503]","SL All"
"9","SL","All",0.817046184412309,0.0180834181430245,0.781603336134603,0.852489032690015,"0.8170 [0.7816, 0.8525]","SL All"
"10","SL","All",0.816206763446418,0.0183013705472956,0.780336736305996,0.852076790586839,"0.8162 [0.7803, 0.8521]","SL All"
