"","Learner","Screen","AUC","se","ci_ll","ci_ul","AUCstr","LearnerScreen"
"1","SL","All",0.817485480869831,0.0181508086420685,0.781910549641098,0.853060412098563,"0.8175 [0.7819, 0.8531]","SL All"
"2","SL","All",0.815189852663954,0.0183057414556364,0.779311258700605,0.851068446627304,"0.8152 [0.7793, 0.8511]","SL All"
"3","SL","All",0.816495860352802,0.0182043260919309,0.780816036849795,0.85217568385581,"0.8165 [0.7808, 0.8522]","SL All"
"4","SL","All",0.817216425504127,0.0180252881376518,0.781887509943373,0.852545341064882,"0.8172 [0.7819, 0.8525]","SL All"
"5","SL","All",0.817805388874679,0.0180609723085763,0.782406533624095,0.853204244125264,"0.8178 [0.7824, 0.8532]","SL All"
"6","SL","All",0.817087939659691,0.0180841361425731,0.781643684128728,0.852532195190653,"0.8171 [0.7816, 0.8525]","SL All"
"7","SL","All",0.816061157315379,0.0183250638108806,0.780144692231655,0.851977622399104,"0.8161 [0.7801, 0.8520]","SL All"
"8","SL","All",0.814817943134431,0.0182225463641594,0.779102408554068,0.850533477714795,"0.8148 [0.7791, 0.8505]","SL All"
"9","SL","All",0.817046184412309,0.0181166086734614,0.781538283890318,0.852554084934299,"0.8170 [0.7815, 0.8526]","SL All"
"10","SL","All",0.816206763446418,0.018320723848926,0.780298804531819,0.852114722361017,"0.8162 [0.7803, 0.8521]","SL All"
